"Prodcuts_name","Prodcuts_url","Prodcuts_price","Prodcuts_sku","Prodcuts_imageUrl","Prodcuts_details"
"Larix Side Table in Blue Colour","https://www.hometown.in/products/larix-side-table-in-blue-colour","Rs. 999","SKU: 830096764","https://www.hometown.in/cdn/shop/files/1_7d5bfbe5-a559-4540-a844-164d607533cf.jpg?v=1715080227&width=1946","Details
Simple, sturdy and versatile, enjoy the pleasures of DIY in the Larix side table constructed out of veneered engineered wood. Style it alongside your fabric sofa, entryway table, bed, etc. Place a statement decor piece or use it for utility, this side table is yours to visualize.
Material
Made from environment friendly European Standard Engineered wood - honeycomb structure.
Construction
Detachable legs for easy storage of product when not in use.
Lamination on all open surfaces
Finish
Plain blue colour finish
Size - Storage
Ideal to be used as side stool or coffee table in living room, office space, entryway, etc..
Light weight, easy to carry and can be used as decor item, gifting, etc..
Colour Option - Variants - Same Build
Blue
Other highlights - Uses - Unique
DIY and easy to assemble, Recommended loadability is 20kgs.
Height: 400
Width: 400
Depth: 400
Color: Blue
Material Details: Engineered Wood
Warranty Period: 12 Months"
"Jacob Engineered Wood Multipurpose Cabinet in Cherry Brown Colour","https://www.hometown.in/products/jacob-engineered-wood-multipurpose-cabinet-in-cherry-brown-colour","Rs. 5,999","SKU: 830051540001","https://www.hometown.in/cdn/shop/files/1_957ca1e5-6096-4a1f-817e-76075490f159.jpg?v=1717145175&width=1946","Details
The Jacob four tier cabinet with a modern silhouette and additional contemporary corner accents, the cabinet is an adaptable storage solution for your living spaces. The natural wood grain finished, cherry brown cabinet offers ample multipurpose storage for your daily knick knacks, crockeries, host friendly serveware, magazines, kids storage, etc.
Material
Made from environment friendly European Standard Engineered wood with PU coating.
Construction
Jacob 4 tier rack is designed in contemporary style with elementary looks for multi usage.
Doors are placed on pivot hinges to give maximum utilisation and access of space.
Magnetic lock keeps good hold when doors are closed.
Finish
Cherry brown coloured wood grain finish for natural and elegant look.
Size - Storage
Vertical Partitions in storage, provide separate compartments and double up as load bearing members.
Recommended maximum loadability 4 kg
Colour Option - Variants - Same Build
Available in 2 col Cherry Brown & Oak.
Other highlights - Uses - Unique
Can be used as crockery unit, bed and bath storage, magazines, books, daily wears, kids storage etc.
This product is termite and borer proof.
Edge banding on all sides and lamination on all open exposed surfaces to protect from moisture."
"Woodrow Sheesham Wood(Rosewood) Dining Chair Set of 2 in Honey Colour","https://www.hometown.in/products/woodrow-sheesham-wood-rosewood-dining-chair-set-of-2-in-honey-colour","Rs. 18,200","SKU: 6000089102001","https://www.hometown.in/cdn/shop/files/1_e98fde29-8417-4f68-858c-3a06e969feeb.jpg?v=1717147096&width=1946","Details
Dine well with no urgency to head out. Woodrow's solidwood dining chair set of 2 makes it so pleasurable to dine and make memories with loved ones. The durability makes it withstand anything that may come its way.
Material
Chair is made in thick sheesham wood with fabric upholstered cushioned seat.
Construction
Chair is made with Box seat construction with thick plywood base which gives strength and durability. Has horizontal 7 Strip Design on backrest.
Size & Components
Legs are attached with Nylon buffers at the bottom. This keeps legs slightly raised above the ground, hence protecting from water & scratches.
Finish
Frame construction in seasoned & chemically treated Sheesham wood in a characteristic Honey finish. The advantages of Sheesham wood include its durability, versatility, and attractive finish. As Sheesham wood is heavy and dense, and it has good pest and decay resistance. This product is termite resistant & boarer Proof.
Colour -Size Option
Available in 8 seater & 6 seater."
"Prime Four Door Wardrobe in White Colour","https://www.hometown.in/products/prime-four-door-wardrobe-in-white-colour","Rs. 23,999","SKU: 6000089618001","https://www.hometown.in/cdn/shop/files/1_00d0245f-a2d6-4e0c-925c-64aed2f91137.jpg?v=1715108873&width=1946","Details
The environment friendly, engineered wood, Prime four door wardrobe with ergonomic functional fittings and user-centric design is an all white modern pick. It's elegant with matte white finish, clean structural lines and sturdy form.
Material
The material is particle board with melamine finish
This Product is made with environment friendly European standard E2 grade Particle board suitable for indoor furniture usage.
Panels are laminated with scratch resistant melamine finish & edge banded on all exposed surfaces to protect from moisture.
This product is termite resistant & borer proof.
Finish
The matt white finish gives a modern look.
Construction
The wardrobe has hinged doors
Storage
The oval shape allows the hangers to twist on the pole easily . Oval poles are also stronger due to their weight bearing capacity
The hanger pole is installed at an ergonomic height for easy accessibility of hangers
The drawer is mounted on telescopic channels. These channels provide full accessibility to the storage space.
All doors are fitted with locks that come with metal keys."
"Alder Engineered Wood 1+2 tier Shoe Rack in Oak Colour","https://www.hometown.in/products/alder-engineered-wood-1-2-tier-shoe-rack-in-oak-colour","Rs. 5,999","SKU: 830094491001","https://www.hometown.in/cdn/shop/files/1_cd47a533-47b8-44bf-b034-a22a5d438987.jpg?v=1715107233&width=1946","Details
Adaptable to your needs with adjustable shelves, the Alder 1+2 tier shoe rack visually adds a modern and modular touch to your space. The oak shoe rack offers natural wood grain finish with drop down shutters. It can accommodate up to 12-14 pairs of footwear, offering maximum utility benefits and the top of the shoe rack can be used as a sitting area and the higher levelled top can used to display your prized possessions.
Material
Made from environment friendly European Standard Engineered wood with PU coating.
Construction
Edge banding on all sides and lamination on all open exposed surfaces to protect from moisture.
Adjustable internal shelves for different sizes of footwear
Finish
Oak wood grain finish for natural and elegant look.
Size - Storage
Can accommodate 12 to 14 pairs of footwear.
Colour Option - Variants - Same Build
Oak
Other highlights - Uses - Unique
Drop down shutter makes it easy to access
A perfect space saver design which can fit into any small area
Free standing shoe rack. Can easily fit behind the door, entryway etc..
This product is termite and borer proof."
"Magnific Velvet Three + Two Seater Sofa in Teal Colour","https://www.hometown.in/products/magnific-velvet-three-two-seater-sofa-in-teal-colour","Rs. 39,900","SKU: 6000102051","https://www.hometown.in/cdn/shop/files/Blackpool_T_Green.jpg?v=1732019740&width=1946","Details
The Magnific Velvet sofa with clean and straight lined silhouette exudes the form and texture of a quintessential modern sofa. The plush high cushions and half rounded arms promises a comfortable seating experience within a compact living space. The grey sofa offers a super cosy spot high in style unit. Place this versatile sofa in any nook and corner of your home.
Finish
This sofa is upholstered with high tensile strength & breathable Velvet Fabric which offers high durability.
Frame Construction
The sofa frame is made from kiln dried and chemically treated Solid wood making it Termite resistant & borerproof.
Seating Comfort
The seat construction provides ultimate comfort & support for longer sitting duration. A Combination of No-Zag springs & Webbing with 32 Density high resilient foam is used in the construction of the seat. Topped with a layer of Super Soft foam for added sitting comfort
Resting Comfort
Waterfall seat cushion is ergonomically designed to give support to legs and is suitable to accommodate people of all body types.
Other Highlights
It's loose Back Cushions filled with polyester fibre to give greater support & comfort.
Rounded Wedge Armrests for plush seating
Colour and Size options
Available in 3 Seater & 2 Seater
Available colours in Sofa - D Grey, Teal, Rust, Wine, Sea Green
Weight: 68
Color: Teal
Material Details: Frame - Solidwood, Upholstery - Velvet Fabric
Warranty Period: 36 Months"
"Sanddune Solidwood Dining Chair Set Of 2 in Walnut Colour","https://www.hometown.in/products/sanddune-solidwood-dining-chair-set-of-2-in-walnut-colour","Rs. 19,900","SKU: 830117505","https://www.hometown.in/cdn/shop/files/1_e44984ec-ec59-41fd-a193-7a7cf75de88f.jpg?v=1715083306&width=1946","Details
Material
Upholstered in linen marcella fabric, it offers the perfect blend of style and comfortable seating.
Construction
The solid rubberwood legs ensure stability and durability.
Seatining Comfort
The 2-8"" inch Thick cushion foam with a density of 2.5 pounds per cubic foot ensures lasting comfort and support.
Size & Components
Tailored cushioning at the back adds extra layer of comfort and relaxation.
Finish
The walnut finish adds a touch of opulence and complements a variety of interior styles.
Colour -Size Option
Walnut
Height: 885
Width: 510
Weight: 13
Depth: 520
Color: Walnut
Material Details: Rubber Wood
Warranty Period: 24 Months"
"Understated Charm (Paddington 3 + 2 Seater Sofa Set Dark Brown + Antwerp Flute Centre Table)","https://www.hometown.in/products/understaded-charm-paddington-3-2-seater-sofa-set-dark-brown-antwerp-flute-centre-table","Rs. 44,900","SKU: 60000883140110","https://www.hometown.in/cdn/shop/files/HO340FU98MSBHTFUR_1.jpg?v=1723931733&width=1946","Details
Living Room Package: Modern Minimalism with Timeless Elegance
Experience the enduring allure of modern minimalism and timeless neutral tones with our curated Living Room Package. Revel in unparalleled comfort with the Perth 2+3 Seater Sofa, enhanced by the exquisite Ossein Center and Side Tables featuring intricate patterns and accents of luxurious golden metallic tones, imparting a rich and sophisticated aesthetic.
Perth 2+3 Seater Sofa:
Design: Statement in elegance with a curved silhouette that adds softness to your living spaces.
Finish: Upholstered with high-grade polyester fabric in beige, complemented by accent throw cushions for a touch of contrast and plush comfort.
Frame Construction: Made from kiln-dried and chemically treated solid wood, ensuring termite resistance and borer proofing.
Seating Comfort: Features No-Zag springs, webbing, and 32 density high resilient foam with a layer of super soft foam for added comfort. Soft curve cushions filled with polyester fiber offer greater support and comfort.
Resting Comfort: Plush box cushion design for sink-in comfort and relaxed seating.
Ossein Center and Side Tables:
Material: Tabletop crafted with beautiful resin inlay work, base made of high-grade mild steel with a gold powder coating.
Construction: Termite and borer proof, cylindrical-shaped center table and matching side table.
Color Options: Available in a combination of white with resin and gold metal finish.
Transform your living space with our Perth sofa and Ossein tables, creating an environment that combines modern minimalism with timeless elegance. Enjoy the rich textures, sophisticated aesthetics, and unparalleled comfort that define this curated collection."
"Understated Charm (Paddington 3 + 2 Seater Sofa Set Grey + Antwerp Flute Centre Table)","https://www.hometown.in/products/understaded-charm-paddington-3-2-seater-sofa-set-grey-antwerp-flute-centre-table","Rs. 44,900","SKU: 60000883140109","https://www.hometown.in/cdn/shop/files/4.1.Paddington.jpg?v=1725276232&width=1946","Details
Living Room Package: Modern Minimalism with Timeless Elegance
Experience the enduring allure of modern minimalism and timeless neutral tones with our curated Living Room Package. Revel in unparalleled comfort with the Perth 2+3 Seater Sofa, enhanced by the exquisite Ossein Center and Side Tables featuring intricate patterns and accents of luxurious golden metallic tones, imparting a rich and sophisticated aesthetic.
Perth 2+3 Seater Sofa:
Design: Statement in elegance with a curved silhouette that adds softness to your living spaces.
Finish: Upholstered with high-grade polyester fabric in beige, complemented by accent throw cushions for a touch of contrast and plush comfort.
Frame Construction: Made from kiln-dried and chemically treated solid wood, ensuring termite resistance and borer proofing.
Seating Comfort: Features No-Zag springs, webbing, and 32 density high resilient foam with a layer of super soft foam for added comfort. Soft curve cushions filled with polyester fiber offer greater support and comfort.
Resting Comfort: Plush box cushion design for sink-in comfort and relaxed seating.
Ossein Center and Side Tables:
Material: Tabletop crafted with beautiful resin inlay work, base made of high-grade mild steel with a gold powder coating.
Construction: Termite and borer proof, cylindrical-shaped center table and matching side table.
Color Options: Available in a combination of white with resin and gold metal finish.
Transform your living space with our Perth sofa and Ossein tables, creating an environment that combines modern minimalism with timeless elegance. Enjoy the rich textures, sophisticated aesthetics, and unparalleled comfort that define this curated collection."
"Understated Charm (Paddington 3 + 2 Seater Sofa Set Beige + Antwerp Flute Centre Table)","https://www.hometown.in/products/understaded-charm-paddington-3-2-seater-sofa-set-beige-antwerp-flute-centre-table","Rs. 44,900","SKU: 60000883140108","https://www.hometown.in/cdn/shop/files/HO340FU04MRVHTFUR_1.jpg?v=1723928718&width=1946","Details
Living Room Package: Modern Minimalism with Timeless Elegance
Experience the enduring allure of modern minimalism and timeless neutral tones with our curated Living Room Package. Revel in unparalleled comfort with the Perth 2+3 Seater Sofa, enhanced by the exquisite Ossein Center and Side Tables featuring intricate patterns and accents of luxurious golden metallic tones, imparting a rich and sophisticated aesthetic.
Perth 2+3 Seater Sofa:
Design: Statement in elegance with a curved silhouette that adds softness to your living spaces.
Finish: Upholstered with high-grade polyester fabric in beige, complemented by accent throw cushions for a touch of contrast and plush comfort.
Frame Construction: Made from kiln-dried and chemically treated solid wood, ensuring termite resistance and borer proofing.
Seating Comfort: Features No-Zag springs, webbing, and 32 density high resilient foam with a layer of super soft foam for added comfort. Soft curve cushions filled with polyester fiber offer greater support and comfort.
Resting Comfort: Plush box cushion design for sink-in comfort and relaxed seating.
Ossein Center and Side Tables:
Material: Tabletop crafted with beautiful resin inlay work, base made of high-grade mild steel with a gold powder coating.
Construction: Termite and borer proof, cylindrical-shaped center table and matching side table.
Color Options: Available in a combination of white with resin and gold metal finish.
Transform your living space with our Perth sofa and Ossein tables, creating an environment that combines modern minimalism with timeless elegance. Enjoy the rich textures, sophisticated aesthetics, and unparalleled comfort that define this curated collection."
"Marvis Sheesham Wood(Rosewood) Six Seater Dining Table in Walnut Colour","https://www.hometown.in/products/marvis-sheesham-wood-rosewood-six-seater-dining-table-in-walnut-colour","Rs. 42,500","SKU: 6000094110001","https://www.hometown.in/cdn/shop/files/2_c98fdafc-caa7-4122-bb5f-0075162c92fe.jpg?v=1718953026&width=1946","Details
Spruce up your dining interiors with the Marvis dining table crafted with real sheesham wood. The dining table juxtaposes traditional aesthetics with that of modern as the sheesham flows into metallic gold. The elegant dining table seats upto six people.
Material
Marvis is made of seasoned and treated Indian Sheesham wood.
Construction
Table top is 25mm thick, which is made of Sheesham wood. Legs are 12 mm in thickness and made of high grade metal.
Size & Components
Legs are lacquered using Electro Phoretic method which keeps them rust proof.
Finish
Product is stained with protective layer to make it scratch & heat resistant. This product is termite resistant & borer Proof.
Colour -Size Option
Walnut"
"Ambra King Bed with Box storage in Oak Colour","https://www.hometown.in/products/ambra-king-bed-with-box-storage-in-oak-colour","Rs. 34,900","SKU: 6000089563001","https://www.hometown.in/cdn/shop/files/1_2bb7d14f-99d2-4506-900a-a65df5d4c807.jpg?v=1717147185&width=1946","Details
The oak-colored Ambra king bed with box storage and natural wood grain finish breathes freshness with its light texture and modern silhouette. The distinct high gloss white headboard with curtain-like corners adds visual grace to the frame.
Material
The material is particle board with PU finish
This Product is made with environment friendly European standard E2 grade particle board suitable for indoor furniture usage.
Panels are laminated with PU finish & edegbanded on all exposed surfaces to protect from moisture.
This product is termite resistant & borer proof.
Finish
The white high gloss finish on the headboard gives it a modern look
The natural wood grain finish gives an elegant look.
Construction
The bed has box storage, covered with panels which can be easily removed to access storage area. For ease of lifting, cut-out holes are provided which are fitted with plastic caps for safety.
The mattress is rested on engineered wood panels, that offer a flat and sturdy surface to the mattress .
Base panels are attached with buffers at the bottom. This keeps the base panels slightly raised above the ground, hence protecting from water, dust etc from floor. Base Panels are removable which makes it easier to clean the floor.
Storage
Vertical Partitions in the storage, provide separate compartments and double up as load bearing members.
There is an allowance given between the mattress edge and bed frame for ease of tucking the bedsheets, without hurting one's fingers.
Mattress Pairing
Mattress size recommended - 1981 mm X 1828 ( 78"" X 72"")
Up to 6"" mattress in Bonnel Spring, Pocket Spring, Foam, Bonded Foam or Coir is suitable for this bed.
Seating height with a mattress of 6"" thickness, is 460mm which ergonomically recommended."
"Austin Sheesham Wood(Rosewood) Dining Bench for 6 Seater in Honey Colour","https://www.hometown.in/products/austin-sheesham-wood-rosewood-dining-bench-for-6-seater-in-honey-colour","Rs. 13,900","SKU: 6000043131001","https://www.hometown.in/cdn/shop/files/1_d979eb90-e273-4cc6-b84c-5bbc12270d67.jpg?v=1717146470&width=1946","Details
The box-like structure of these dining chairs by Austin make a stylish little accessory to your dining table. They have a 7 strip design on the back, providing a clean, sophisticated look to your space.
Material
Bench is made in thick sheesham wood.
Construction
Bench is made in thick sheesham wood with fabric upholstered cushioned seat.
Seatining Comfort
This bench can accommodate 2 adults or 3 kids. Bench can be parked inside the table when not in use and it saves the space. Legs are attached with Nylon buffers at the bottom. This keeps legs slightly raised above the ground, hence protecting from water & scratches.
Size & Components
Legs are attached with Nylon buffers at the bottom. This keeps legs slightly raised above the ground, hence protecting from water & scratches.
Finish
Frame construction in seasoned & chemically treated Sheesham wood in a characteristic Honey finish.. As Sheesham wood is heavy and dense, and it has good pest and decay resistance. This product is termite resistant & boarer Proof.
Colour -Size Option
Available in 8 seater & 6 seater."
"Prime Three door Wardrobe in Wenge Colour","https://www.hometown.in/products/prime-three-door-wardrobe-in-wenge-colour","Rs. 16,999","SKU: 6000032205001","https://www.hometown.in/cdn/shop/files/1_73f18ac9-9f26-42fb-98cd-c3b0067da2c0.jpg?v=1717145908&width=1946","Details
The environment friendly, engineered wood, Prime three door wardrobe with ergonomic functional fittings and user-centric design fits seamlessly in any bedroom. It's elegant with natural wood grain wenge finish, clean structural lines and sturdy form.
Material
The material is particle board with melamine finish.
This Product is made with environment friendly European standard E2 grade Particle board, suitable for indoor furniture usage.
Panels are laminated with scratch resistant melamine finish. & edegbanded on all exposed surfaces to protect from moisture.
This product is termite resistant & borer proof.
Finish
The natural wood grain finish gives an elegant look.
Construction
The wardrobe has hinged doors.
The oval shape allows the hangers to twist on the pole easily. Oval poles are also stronger due to their weight bearing capacity.
The hanger pole is installed at an ergonomic height for easy accessibility of hangers.
The drawer is mounted on telescopic channels. These channels provide full accessibility to the storage space.
All doors are fitted with locks that come with metal keys."
"Prime 2 door wardrobe in Wenge Colour","https://www.hometown.in/products/prime-2-door-wardrobe-in-wenge-colour","Rs. 10,999","SKU: 6000032116001","https://www.hometown.in/cdn/shop/files/1_b74bc5d3-b7ac-40e9-9f88-de838e71e0a5.jpg?v=1717145771&width=1946","Details
The environment friendly, engineered wood, Prime two door wardrobe with ergonomic functional fittings and user-centric design fits seamlessly in any bedroom. It's elegant with natural wood grain wenge finish, clean structural lines and sturdy form.
Material
The material is particle board with melamine finish.
This Product is made with environment friendly European standard E2 grade Particle board, suitable for indoor furniture usage.
Panels are laminated with scratch resistant melamine finish. & edegbanded on all exposed surfaces to protect from moisture.
This product is termite resistant & borer proof.
Finish
The natural wood grain finish gives an elegant look.
Construction
The wardrobe has hinged doors
The hanger pole is installed at an ergonomic height for easy accessibility of hangers
The oval shape allows the hangers to twist on the pole easily . Oval poles are also stronger due to their weight bearing capacity
The doors are fitted with locks that come with metal keys."
"Alston Solidwood Dining Chair Set of 2 in Ivory Colour","https://www.hometown.in/products/alston-solidwood-dining-chair-set-of-2-in-ivory-colour","Rs. 19,900","SKU: 830046565001","https://www.hometown.in/cdn/shop/files/51STnpk5z_L.jpg?v=1729926485&width=1946","Details
When looking for the perfect marrying of comfort and style for your dining set, nothing compares to Alston's dining chair set of 2. The cloud-soft cushioning when paired with the soft-to-touch fabric makes way for a timeless luxury seating experience.
Material
Finished legs in Birchwood for product durability
Construction
Finished legs in Birchwood for product durability
Seatining Comfort
Cushioned with high tensile strength leatherette which offers high durability and padded with PU foam for comfortable seating.High density 30 Kg-M3 for greater seating comfort
Size & Components
Legs are attached with Nylon buffers at the bottom. This keeps legs slightly raised above the ground, hence protecting from water & scratches.
Finish
Comfortable & durable full back rest in Walnut finish
Colour -Size Option
Walnut"
"Eden Solidwood Dining Bench for 6 Seater in Brown Colour","https://www.hometown.in/products/eden-solidwood-dining-bench-for-6-seater-in-brown-colour","Rs. 6,900","SKU: 830033784001","https://www.hometown.in/cdn/shop/files/1_0dfa4af2-2a6e-4703-a7f2-3c3af1e0d9c4.jpg?v=1717144990&width=1946","Details
Eden's high-end, luxurious dining bench is functional and beautiful. The bench can be parked under the table when not in use, and when in use it can accomodate more guests for a larger dinner party!
Material
Heavy section of solidwood construction makes this product
Construction
It comes with soft padding and Premium PVC upholstery that imparts a high-end look.
Seatining Comfort
Cushioned with Premium PVC, which offers high durability and padded with PU foam for comfortable seating.
Size & Components
This bench can accommodate 2 adults or 3 kids. Bench can be parked inside the table when not in use and it saves the space. Legs are attached with Nylon buffers at the bottom. This keeps legs slightly raised above the ground, hence protecting from water & scratches.
Finish
Walnut finish. This product is termite resistant & boarer Proof.
Colour -Size Option
Walnut"
"Florence Study Table in Walnut Colour","https://www.hometown.in/products/florence-study-table-in-walnut-colour","Rs. 9,999","SKU: 830028331001","https://www.hometown.in/cdn/shop/files/1_bc14a64e-d881-4071-b27d-3958bc014471.jpg?v=1717144601&width=1946","Details
The Florence study table offers optimized storage solution in a compact and space saving unit with its foldable writing surface and ample space with cabinets to store all your stationery, books, bag, etc.
Material
Made from environment friendly European Standard Engineered wood with PU coating.
Construction
Edge banding on all sides and lamination on all open exposed surfaces to protect from moisture.
Nylon buffers are attached to base panels to protect from water or any spillage.
Complete storage solution and foldable writing surface as study table
Finish
Walnut finish gives natural and elegant look.
Size - Storage
Big three storage for books, bags, stationary items
Colour Option - Variants - Same Build
Available in Walnut & White colour
Other highlights - Uses - Unique
Free standing cabinet with raised legs which give enough clearance for floor cleaning.
Compact and space saving
This product is termite and borer proof."
"Utsav 3 door wardrobe in Wenge Colour","https://www.hometown.in/products/utsav-3-door-wardrobe-in-wenge-colour","Rs. 19,999","SKU: 600383562001","https://www.hometown.in/cdn/shop/files/1_2a18e56b-52a0-40da-b619-ebfe8fce9be6.jpg?v=1717143882&width=1946","Details
The all-white engineered wood, Utsav three door wardrobe with mirror in natural wood grain finish is bespoke for the minimalist palette lovers. It's ergonomic fittings makes the design user-centric.
Material
The material is particle board with melamine finish..
This Product is made with environment friendly European standard E2 grade Particle board, suitable for indoor furniture usage.
Panels are laminated with scratch resistant melamine finish. & edegbanded on all exposed surfaces to protect from moisture.
This product is termite resistant & borer proof.
Finish
The natural wood grain finish gives an elegant look.
Construction
The wardrobe has hinged doors
Wardrobe doors are fitted with mirrors.
The oval shape allows the hangers to twist on the pole easily . Oval poles are also stronger due to their weight bearing capacity
The hanger pole is installed at an ergonomic height for easy accessibility of hangers
External lower drawers provided at the bottom to keep shoes.
The foot drawer is mounted on telescopic channels. These channels provide full accessibility to the storage space.
All doors are fitted with locks that come with metal keys."
"Utsav 4 door wardrobe in Wenge Colour","https://www.hometown.in/products/utsav-4-door-wardrobe-in-wenge-colour","Rs. 25,999","SKU: 600383511001","https://www.hometown.in/cdn/shop/files/1_73bf2552-e74c-4586-8762-1aaed5edb693.jpg?v=1717143852&width=1946","Details
The all-white engineered wood, Utsav four door wardrobe with mirror in natural wood grain finish is bespoke for the minimalist palette lovers. It's ergonomic fittings makes the design user-centric.
Material
The material is particle board with melamine finish.
This Product is made with environment friendly European standard E2 grade Particle board, suitable for indoor furniture usage.
Panels are laminated with scratch resistant melamine finish. & edegbanded on all exposed surfaces to protect from moisture.
This product is termite resistant & borer proof.
Finish
The natural wood grain finish gives an elegant look.
Construction
The wardrobe has hinged doors
Wardrobe doors are fitted with mirrors.
The hanger pole is installed at an ergonomic height for easy accessibility of hangers.
The oval shape allows the hangers to twist on the pole easily . Oval poles are also stronger due to their weight bearing capacity.
External lower drawers are provided at the bottom to keep shoes.
The foot drawer are mounted on telescopic channels. These channels provide full accessibility to the storage space.
All doors are fitted with locks that come with metal keys."
"Jordan King Bed With Hydraulic storage in Sonam Oak & White Colour","https://www.hometown.in/products/jordan-king-bed-with-hydraulic-storage-in-sonam-oak-white-colour","Rs. 59,900","SKU: 6000102642001","https://www.hometown.in/cdn/shop/files/1_005e93a8-e16a-4a8d-be15-d6f143561311.jpg?v=1718970901&width=1946","Details
Material
The material is engineered wood with PU finish
This Product is made with environment friendly European standard IS grade engineered wood suitable for indoor furniture usage.
Panels are painted with PU finish & edge banded on all exposed surfaces to protect from moisture.
Construction
The Beautiful Upholstery on headboard gives this bed a premium look.
The bed has hydraulic storage for convenient access to frequently used items
Base panels are attached with buffers at the bottom. This keeps the base panels slightly raised above the ground, hence protecting from water, dust etc from floor. Base Panels are removable which makes it easier to clean the floor.
Storage Space
Vertical Partitions in the storage, provide separate compartments and double up as load bearing members.
There is an allowance given between the mattress edge and bed frame for ease of tucking the bedsheets, without hurting one's fingers.
Mattress size recommended - 1981 mm x 1524 mm (78""X60"").
Up to 6"" mattress in Bonnel Spring, Pocket Spring, Foam, Bonded Foam or Coir is suitable for this bed.
Seating height with a mattress of 6"" thickness, is 460mm which ergonomically recommended.
Other Features
This product is termite resistant & borer proof.
Colour
Sonama Oak Light +White"
"Jax Engineered Wood Wall Unit in Dark Walnut Colour","https://www.hometown.in/products/jax-engineered-wood-wall-unit-in-dark-walnut-colour","Rs. 399","SKU: 6000088400001","https://www.hometown.in/cdn/shop/files/1_731b4ff2-0222-4aa5-b950-ad6f2f033b75.jpg?v=1715108462&width=1946","Details
Minimal take on a wall unit, the Jax dark walnut media console is designed with creating visual space on the wall in mind. The compact media console has the right amount of open shelf space to comfortably place essentials on it. The engineered wood wall unit can be paired with, up to 50"" TV wall mount.
Material
Made from environment friendly European Standard Engineered wood with scratch resistant melamine coating.
Construction
Edge banding on all sides and lamination on all open exposed surfaces to protect from moisture.
Media Placement
Can fit upto 50"" TV which can be wall mount
Storage Space
Neat and Compact design that leaves your wall open while providing space for your set top box
Other Features
This product is termite and borer proof.
Colour
Available in Dark Walnut"
"Paddington Fabric Single Seater Sofa in Brown Colour","https://www.hometown.in/products/paddington-fabric-single-seater-sofa-in-brown-colour","Rs. 16,900","SKU: 6000061231001","https://www.hometown.in/cdn/shop/files/1_134e9671-4e26-42f2-8717-0b3c3795ebca.jpg?v=1715107795&width=1946","Details
The mid-century silhouette of our Paddington single seater sofa in dark brown offers on trend style. The classic soft button tufting, full stock rounded armrests, perfect proportions and seating ergonomics guarantees great comfort and ample room to stretch. Ideal for big and compact living rooms.
Finish
This sofa is upholstered with high tensile strength & breathable Polyester Fabric which offers high durability.
Frame Construction
The sofa frame is made from kiln dried and chemically treated Solidwood making it Termite resistant & borerproof.
Seating Comfort
The seat construction provides ultimate comfort & support for longer sitting duration. A Combination of No-Zag springs & Webbing with 32 Density high resilient foam is used in the construction of the seat. Topped with a layer of Super Soft foam for added sitting comfort
The T-cushion seats gives complete comfort and support to legs.
Resting Comfort
It's fixed Backrest with soft button back cushions are filled with polyester fibre to give greater support & comfort.
Other Highlights
It's Rolled Sock Armrests provide a relaxed seating comfort.
Color and Size options
Available in 3 Seater, 2 Seater, 1 Seater, Small Lounger & Large Lounger
Available colours in Sofa - Grey, Blue, Beige, Dark Brown & Light Brown"
"Palatine Metal Dining Chair in Grey Colour","https://www.hometown.in/products/palatine-metal-dining-chair-in-grey-colour","Rs. 7,999","SKU: 6000406777","https://www.hometown.in/cdn/shop/files/1_d3fc7856-a73c-4e37-9b03-51b4096f967a.jpg?v=1715105776&width=1946","Details
Material
The Palatine Dining Chair offers a lavish seating experience with its upholstered seat and back covered in velvet fabric available in a stylish gray and rust color combination.
Construction
All metal components undergo a pretreatment process to prevent rusting, ensuring the chair's longevity and maintaining its aesthetic appeal over time.
Seatining Comfort
Designed for both comfort and durability, the Palatine Dining Chair provides a high level of comfort with a fixed back and is crafted to withstand regular use.
Size & Components
Chair is soft, rounded edges and scoop like frame enhance the chair's overall aesthetic appeal
Finish
The chair features a robust metal frame that boasts an elegant golden finish, adding a touch of sophistication to its design.
Colour /Size Option
Grey
Height: 825
Width: 490
Weight: 10
Depth: 540
Color: Grey
Material Details: Metal
Warranty Period: 24 Months"